Dataset,Tissue,Condition,Gene,Type,Eigenvalue,R2,GEO_Accession,Verified
GSE54650,Liver,Healthy,Per1,CLOCK,0.574,0.510,GSE54650,YES
GSE54650,Liver,Healthy,Per2,CLOCK,0.636,0.715,GSE54650,YES
GSE54650,Liver,Healthy,Cry1,CLOCK,0.760,0.775,GSE54650,YES
GSE54650,Liver,Healthy,Cry2,CLOCK,0.583,0.205,GSE54650,YES
GSE54650,Liver,Healthy,Clock,CLOCK,0.810,0.813,GSE54650,YES
GSE54650,Liver,Healthy,Arntl,CLOCK,0.767,0.785,GSE54650,YES
GSE54650,Liver,Healthy,Nr1d1,CLOCK,0.811,0.726,GSE54650,YES
GSE54650,Liver,Healthy,Nr1d2,CLOCK,0.856,0.849,GSE54650,YES
GSE54650,Liver,Healthy,Myc,TARGET,0.416,0.097,GSE54650,YES
GSE54650,Liver,Healthy,Ccnd1,TARGET,0.587,0.128,GSE54650,YES
GSE54650,Liver,Healthy,Wee1,TARGET,0.615,0.628,GSE54650,YES
GSE54650,Liver,Healthy,Cdk1,TARGET,0.600,0.115,GSE54650,YES
GSE54650,Liver,Healthy,Ccnb1,TARGET,0.404,0.036,GSE54650,YES
GSE54650,Liver,Healthy,Lgr5,TARGET,0.572,0.087,GSE54650,YES
GSE54650,Liver,Healthy,Axin2,TARGET,0.160,0.057,GSE54650,YES
GSE54650,Heart,Healthy,Per1,CLOCK,0.638,0.569,GSE54650,YES
GSE54650,Heart,Healthy,Per2,CLOCK,0.780,0.787,GSE54650,YES
GSE54650,Heart,Healthy,Cry1,CLOCK,0.585,0.548,GSE54650,YES
GSE54650,Heart,Healthy,Cry2,CLOCK,0.525,0.562,GSE54650,YES
GSE54650,Heart,Healthy,Clock,CLOCK,0.711,0.749,GSE54650,YES
GSE54650,Heart,Healthy,Arntl,CLOCK,0.726,0.800,GSE54650,YES
GSE54650,Heart,Healthy,Nr1d1,CLOCK,0.840,0.806,GSE54650,YES
GSE54650,Heart,Healthy,Nr1d2,CLOCK,0.705,0.727,GSE54650,YES
GSE54650,Heart,Healthy,Myc,TARGET,0.197,0.038,GSE54650,YES
GSE54650,Heart,Healthy,Ccnd1,TARGET,0.204,0.060,GSE54650,YES
GSE54650,Heart,Healthy,Wee1,TARGET,0.671,0.688,GSE54650,YES
GSE54650,Heart,Healthy,Cdk1,TARGET,0.204,0.097,GSE54650,YES
GSE54650,Heart,Healthy,Ccnb1,TARGET,0.395,0.020,GSE54650,YES
GSE54650,Heart,Healthy,Lgr5,TARGET,0.374,0.058,GSE54650,YES
GSE54650,Heart,Healthy,Axin2,TARGET,0.446,0.032,GSE54650,YES
GSE54650,Kidney,Healthy,Per1,CLOCK,0.590,0.539,GSE54650,YES
GSE54650,Kidney,Healthy,Per2,CLOCK,0.836,0.845,GSE54650,YES
GSE54650,Kidney,Healthy,Cry1,CLOCK,0.805,0.805,GSE54650,YES
GSE54650,Kidney,Healthy,Cry2,CLOCK,0.673,0.724,GSE54650,YES
GSE54650,Kidney,Healthy,Clock,CLOCK,0.656,0.664,GSE54650,YES
GSE54650,Kidney,Healthy,Arntl,CLOCK,0.899,0.912,GSE54650,YES
GSE54650,Kidney,Healthy,Nr1d1,CLOCK,0.882,0.861,GSE54650,YES
GSE54650,Kidney,Healthy,Nr1d2,CLOCK,0.879,0.888,GSE54650,YES
GSE54650,Kidney,Healthy,Myc,TARGET,0.705,0.221,GSE54650,YES
GSE54650,Kidney,Healthy,Ccnd1,TARGET,0.528,0.418,GSE54650,YES
GSE54650,Kidney,Healthy,Wee1,TARGET,0.635,0.696,GSE54650,YES
GSE54650,Kidney,Healthy,Cdk1,TARGET,0.596,0.149,GSE54650,YES
GSE54650,Kidney,Healthy,Ccnb1,TARGET,0.391,0.094,GSE54650,YES
GSE54650,Kidney,Healthy,Lgr5,TARGET,0.644,0.129,GSE54650,YES
GSE54650,Kidney,Healthy,Axin2,TARGET,0.427,0.052,GSE54650,YES
GSE221103,Neuroblastoma,MYC-ON,PER1,CLOCK,0.435,0.440,GSE221103,YES
GSE221103,Neuroblastoma,MYC-ON,PER2,CLOCK,0.806,0.536,GSE221103,YES
GSE221103,Neuroblastoma,MYC-ON,CRY1,CLOCK,0.468,0.272,GSE221103,YES
GSE221103,Neuroblastoma,MYC-ON,CRY2,CLOCK,0.632,0.250,GSE221103,YES
GSE221103,Neuroblastoma,MYC-ON,CLOCK,CLOCK,0.343,-0.060,GSE221103,YES
