gene,eigenvalue,phi1,phi2,r2,root_type,half_life,eigenperiod
Arntl,0.989875,1.711015,-0.979853,0.964143,Complex,68.113,11.9198
Per2,0.976427,1.67382,-0.95341,0.964828,Complex,29.0568,11.6107
Nr1d1,0.969092,1.658343,-0.939139,0.92332,Complex,22.0777,11.5488
Dbp,0.947367,1.632914,-0.897504,0.942527,Complex,12.8197,11.8115
Cry1,0.928509,1.577336,-0.862128,0.908944,Complex,9.3447,11.3014
Nr1d2,0.92171,1.597519,-0.84955,0.905129,Complex,8.5024,12.0267
Per1,0.921379,1.568027,-0.848939,0.89763,Complex,8.465,11.3604
Bax,0.867969,0.152112,0.621341,0.373884,Real,4.8951,
Cry2,0.846915,1.429857,-0.717265,0.861615,Complex,4.1717,11.1048
Clock,0.846276,1.338328,-0.716184,0.798024,Complex,4.1528,9.537
Tef,0.808532,1.306839,-0.653724,0.850619,Complex,3.2613,9.9768
Mcm6,0.769216,0.943737,-0.591693,0.544763,Complex,2.6417,6.9017
Rps18,0.743286,0.458519,-0.552474,0.436625,Complex,2.3364,4.9976
Mki67,0.740181,1.031964,-0.547867,0.59476,Complex,2.3039,7.8594
Myc,0.656205,0.432703,0.146663,0.259867,Real,1.6453,
Ubc,0.618252,-0.605287,-0.382236,0.313457,Complex,1.4415,3.0174
Wee1,0.564009,0.951762,-0.318107,0.633844,Complex,1.2103,11.0898
Sdha,0.563806,-0.507233,-0.317878,0.232251,Complex,1.2096,3.084
Ywhaz,0.552756,-0.382182,-0.305539,0.206431,Complex,1.1692,3.2661
Tubb,0.545128,0.494315,-0.297164,0.223212,Complex,1.1424,5.7108
Ccne1,0.543537,-0.216227,0.177905,0.077541,Real,1.1369,
Cdkn1a,0.499509,0.6996,-0.249509,0.363316,Complex,0.9986,7.9034
Actb,0.483854,-0.092483,-0.234115,0.056495,Complex,0.9548,3.7703
Tp53,0.402406,0.716155,-0.16193,0.392849,Complex,0.7615,13.2613
B2m,0.39494,-0.63646,-0.155977,0.313033,Complex,0.7461,2.5055
Hprt,0.303503,0.097453,0.062536,-0.039564,Real,0.5813,
Bcl2,0.279902,0.30464,-0.078345,-0.025665,Complex,0.5444,6.3124
Gapdh,0.25477,-0.104653,0.038245,0.010226,Real,0.5069,
Ccnd1,0.23685,0.438976,-0.056098,0.215536,Complex,0.4812,16.3082
Ppia,0.147831,0.022941,0.018462,-0.0007,Real,0.3626,
