gene,eigenvalue,phi1,phi2,r2,root_type,half_life,eigenperiod
Hprt,1.306374,-0.327449,1.278841,0.611879,Real,,
Nr1d1,0.892201,1.449119,-0.796023,0.776204,Complex,6.0768,10.0846
Clock,0.825986,0.213295,-0.682253,0.260314,Complex,3.6257,4.3593
Gapdh,0.816263,-1.008231,-0.666285,0.614004,Complex,3.4142,2.8094
Cry1,0.7966,0.579895,0.172627,0.357867,Real,3.0481,
Actb,0.775875,-0.140301,-0.601982,0.455883,Complex,2.7315,3.782
Tubb,0.694318,0.33655,-0.482077,0.265212,Complex,1.8999,4.7385
Dbp,0.653295,1.104432,-0.426794,0.60729,Complex,1.6281,11.1461
Per2,0.575067,1.056973,-0.330702,0.666834,Complex,1.2528,15.5041
Cdkn1a,0.51429,0.277957,0.121544,0.10199,Real,1.0424,
Arntl,0.477355,0.616831,-0.066579,0.27899,Real,0.9373,
Myc,0.450524,-0.299769,0.067918,0.100318,Real,0.8693,
Wee1,0.437602,0.752839,-0.191496,0.442081,Complex,0.8387,11.7407
Ccnd1,0.399841,0.752654,-0.159873,0.297264,Complex,0.7561,18.2303
Tp53,0.339349,0.208898,0.044269,0.045878,Real,0.6414,
Rps18,0.314251,-0.222413,-0.098754,0.012799,Complex,0.5988,3.2513
