gene,beta1,beta2,eigenvalue_modulus,r2,root_type,category
Gm2889,-0.155400,0.124453,0.4389,0.0442,real,other
Gm10568,0.104283,0.263577,0.5682,0.0905,real,other
Lypla1,0.143351,0.290566,0.6155,0.1106,real,other
Tcea1,-0.013267,0.075657,0.2818,0.0048,real,other
Atp6v1h,-0.019192,0.381902,0.6277,0.1355,real,other
Oprk1,-0.104219,0.538226,0.7876,0.3102,real,other
Rb1cc1,0.174346,0.102016,0.4183,0.0369,real,other
Fam150a,-0.075318,-0.065833,0.2566,0.0080,complex,other
St18,-0.004021,0.142413,0.3794,0.0165,real,other
Pcmtd1,0.231091,0.234482,0.6134,0.1030,real,other
Gm30414,0.001147,0.272818,0.5229,0.0676,real,other
Rrs1,0.019595,0.169731,0.4219,0.0273,real,other
Adhfe1,0.470574,-0.011575,0.4445,0.2163,real,other
3110035E14Rik,-0.162280,-0.212217,0.4607,0.0620,complex,other
Sgk3,0.049040,0.302921,0.5754,0.0960,real,other
Mcmdc2,-0.388635,0.017558,0.4295,0.1589,real,other
Cspp1,-0.269961,0.196550,0.5984,0.1537,real,other
Prex2,0.098696,0.459236,0.7288,0.2361,real,other
A830018L16Rik,-0.163410,0.300130,0.6356,0.1379,real,other
Sulf1,-0.032633,-0.050592,0.2249,-0.0057,complex,other
Xkr9,0.265134,0.165445,0.5604,0.1251,real,other
Gm9947,-0.064011,0.121333,0.3818,0.0197,real,other
Rpl5,0.467316,0.146230,0.6818,0.3179,real,other
Kcnb2,-0.206985,0.438703,0.7739,0.3059,real,other
Terf1,-0.013552,0.243168,0.4999,0.0553,real,other
Rdh10,0.228867,0.070845,0.4042,0.0479,real,other
Tmem70,0.169627,-0.103662,0.3220,0.0322,complex,other
Ly96,0.903093,-0.168119,0.6407,0.6069,real,other
Gdap1,-0.152630,-0.105890,0.3254,0.0291,complex,other
Pi15,-0.173250,-0.089640,0.2994,0.0328,complex,other
Crispld1,-0.157472,0.450655,0.7546,0.2753,real,other
Tfap2d,-0.114138,0.518922,0.7797,0.3123,real,other
Tfap2b,0.248077,-0.337378,0.5808,0.1123,complex,other
Iars,0.419722,0.099577,0.5888,0.2040,real,other
Mir206,-0.175689,-0.096564,0.3107,0.0311,complex,other
Il17a,-0.158857,-0.024770,0.1574,0.0239,complex,other
Paqr8,0.113710,0.108429,0.3910,0.0242,real,other
Efhc1,-0.002324,0.248643,0.4998,0.0647,real,other
Tmem14a,0.466081,0.123039,0.6542,0.2996,real,other
Gsta3,0.758127,-0.139979,0.4400,0.4125,real,other
Cetn4,-0.421030,-0.006954,0.4038,0.1760,real,other
Khdc1a,-0.020925,-0.069950,0.2645,0.0034,complex,other
Mir30a,-0.085290,-0.017084,0.1307,0.0065,complex,other
Mir30c-2,0.001055,-0.090690,0.3011,0.0081,complex,other
B3gat2,0.219332,0.121474,0.4750,0.0760,real,other
Sdhaf4,-0.132641,0.487280,0.7675,0.2995,real,other
Col9a1,-0.338164,0.340437,0.7766,0.3273,real,other
Lmbrd1,0.056435,0.362426,0.6309,0.1136,real,other
Gm9884,-0.279448,0.152909,0.5550,0.1248,real,other
Cdk10,-0.243468,0.049957,0.3762,0.0660,real,other
Lgsn,0.071444,0.429470,0.6920,0.1721,real,other
Pih1d3,-0.201925,0.174480,0.5307,0.0880,real,other
Paox,0.457802,0.002948,0.4642,0.2115,real,other
Khdrbs2,0.160229,0.155102,0.4820,0.0606,real,other
1700001G17Rik,-0.164969,-0.248581,0.4986,0.0789,complex,other
Rab23,0.107790,0.333375,0.6338,0.1348,real,other
Dst,0.312859,0.272107,0.7010,0.2444,real,other
Imp4,0.337298,0.130794,0.5677,0.1481,real,other
D1Ertd448e,0.820723,-0.243033,0.4930,0.4457,complex,other
Ptpn18,-0.166487,-0.150817,0.3884,0.0427,complex,other
Prss39,0.060165,-0.163825,0.4048,0.0262,complex,other
Cfc1,0.093251,-0.097118,0.3116,0.0156,complex,other
Amer3,-0.409409,-0.145637,0.3816,0.1415,complex,other
C230030N03Rik,-0.151920,0.405319,0.7171,0.1914,real,other
Arhgef4,0.076227,0.106526,0.3667,0.0170,real,other
Plekhb2,0.171874,0.309036,0.6485,0.1498,real,other
Hs6st1,0.459674,-0.107776,0.3283,0.1771,complex,other
Arid5a,-0.353123,0.102826,0.5426,0.1564,real,other
Fer1l5,-0.129220,0.293214,0.6099,0.1057,real,other
Cnnm4,0.259897,0.266740,0.6625,0.1747,real,other
Cnnm3,0.581713,0.050794,0.6588,0.3885,real,other
Cox5b,0.429318,0.237316,0.7470,0.3755,real,other
Zap70,-0.208596,-0.153985,0.3924,0.0560,complex,other
Vwa3b,-0.109008,0.512476,0.7724,0.2969,real,other
Cnga3,-0.028096,0.453435,0.6876,0.1965,real,other
Inpp4a,-0.296554,0.022849,0.3600,0.0951,real,other
Unc50,0.047785,0.331621,0.6003,0.1067,real,other
Lipt1,0.224720,0.116851,0.4722,0.0715,real,other
Mrpl30,0.375190,-0.141018,0.3755,0.1259,complex,other
Eif5b,-0.226834,0.285453,0.6596,0.1722,real,other
Nms,-0.390574,0.061980,0.5117,0.1820,real,other
Pdcl3,0.351195,0.195836,0.6517,0.2191,real,other
Npas2,0.910405,-0.313216,0.5597,0.5376,complex,clock
Cnot11,-0.527541,0.111957,0.6898,0.3605,real,other
Map4k4,0.393420,0.251654,0.7356,0.3227,real,other
Il1r2,-0.029241,-0.044521,0.2110,0.0027,complex,other
Il1r1,0.051415,-0.306994,0.5541,0.1003,complex,other
Il1rl2,0.083532,0.045991,0.2603,0.0083,real,other
Il1rl1,0.076276,0.217132,0.5057,0.0520,real,other
Il18r1,-0.114046,-0.013929,0.1180,0.0100,complex,other
Il18rap,-0.020225,0.077087,0.2879,0.0058,real,other
Slc9a4,-0.306152,-0.097623,0.3124,0.0866,complex,other
Slc9a2,0.076817,0.352881,0.6337,0.1230,real,other
Tmem182,0.032183,0.272579,0.5384,0.0762,real,other
Gm9915,0.560685,-0.309764,0.5566,0.2504,complex,other
Pou3f3,-0.072926,0.235728,0.5233,0.0657,real,other
Mrps9,0.104589,0.306737,0.6086,0.1088,real,other
Gpr45,-0.068590,0.674920,0.8565,0.2619,real,other
8430432A02Rik,0.204147,-0.268333,0.5180,0.0937,complex,other
AI597479,-0.028299,0.394178,0.6421,0.1332,real,other
Nck2,0.096983,-0.195687,0.4424,0.0464,complex,other
1500015O10Rik,0.058887,0.183559,0.4589,0.0403,real,other
Tpp2,-0.276386,0.374813,0.7658,0.3201,real,other
Bivm,0.242808,0.218230,0.6041,0.1599,real,other
Ercc5,0.411925,0.054716,0.5176,0.1454,real,other
Gulp1,0.056514,0.077583,0.3082,0.0076,real,other
Col3a1,0.505494,-0.187741,0.4333,0.2088,complex,other
Wdr75,-0.272477,0.008510,0.3008,0.0653,real,other
Rpl23a,0.304711,0.000329,0.3058,0.0911,real,other
Dnah7b,-0.063246,0.150408,0.4207,0.0209,real,other
Dnah7c,0.185295,-0.146435,0.3827,0.0480,complex,other
Tmeff2,0.078907,0.173392,0.4577,0.0389,real,other
Sdpr,-0.218938,0.371959,0.7291,0.2449,real,other
Stat4,-0.179060,-0.327871,0.5726,0.1259,complex,other
Stat1,0.059054,0.226903,0.5068,0.0477,real,immune
Tmem194b,-0.378590,-0.189909,0.4358,0.1332,complex,other
