permutation,null_clock_median_lambda
1,0.5499
2,0.5495
3,0.5446
4,0.5254
5,0.4698
6,0.4572
7,0.5054
8,0.4062
9,0.4575
10,0.5566
11,0.4902
12,0.4835
13,0.4881
14,0.5564
15,0.4798
16,0.4995
17,0.5736
18,0.4980
19,0.5272
20,0.5071
21,0.5241
22,0.4727
23,0.4934
24,0.4892
25,0.5246
26,0.6190
27,0.5207
28,0.5817
29,0.4095
30,0.4784
31,0.5507
32,0.4100
33,0.5117
34,0.4916
35,0.5211
36,0.3523
37,0.4602
38,0.4305
39,0.5415
40,0.5822
41,0.5435
42,0.4685
43,0.5493
44,0.5202
45,0.4506
46,0.4749
47,0.5490
48,0.4537
49,0.5462
50,0.4632
51,0.4981
52,0.3934
53,0.4635
54,0.4915
55,0.5308
56,0.5085
57,0.4673
58,0.5694
59,0.5552
60,0.5490
61,0.5107
62,0.4148
63,0.6068
64,0.3931
65,0.4387
66,0.4140
67,0.5835
68,0.5320
69,0.4830
70,0.4843
71,0.4844
72,0.4956
73,0.5463
74,0.5195
75,0.5307
76,0.5777
77,0.5106
78,0.4757
79,0.4955
80,0.5372
81,0.4306
82,0.4254
83,0.4741
84,0.5169
85,0.5455
86,0.5299
87,0.4538
88,0.4818
89,0.5200
90,0.5588
91,0.4889
92,0.5496
93,0.4648
94,0.4988
95,0.4864
96,0.4286
97,0.5279
98,0.3474
99,0.4185
100,0.5141
101,0.5413
102,0.5974
103,0.6059
104,0.4302
105,0.2886
106,0.4070
107,0.4679
108,0.4451
109,0.5259
110,0.3942
111,0.4694
112,0.4392
113,0.5123
114,0.5215
115,0.5924
116,0.4017
117,0.4814
118,0.4629
119,0.4957
120,0.5310
121,0.3805
122,0.4717
123,0.4376
124,0.4450
125,0.6119
126,0.4767
127,0.4268
128,0.3521
129,0.5612
130,0.4612
131,0.4996
132,0.5173
133,0.5249
134,0.5416
135,0.5017
136,0.3408
137,0.3987
138,0.4200
139,0.5492
140,0.5211
141,0.5502
142,0.5896
143,0.5854
144,0.5723
145,0.4852
146,0.3956
147,0.5770
148,0.4463
149,0.5509
150,0.5889
151,0.4630
152,0.5115
153,0.4368
154,0.4261
155,0.4985
156,0.4991
157,0.3839
158,0.5371
159,0.5299
160,0.5686
161,0.4292
162,0.3674
163,0.4686
164,0.5528
165,0.5765
166,0.5694
167,0.4678
168,0.4193
169,0.5400
170,0.3990
